time,temp (C),hum
1546319700.0,6.111111111111111,80.0
1546320900.0,6.111111111111111,80.0
1546322100.0,6.111111111111111,80.0
1546319700.0,6.111111111111111,80.0
1546320900.0,6.111111111111111,80.0
1546322100.0,6.111111111111111,80.0
1546319700.0,6.111111111111111,80.0
1546320900.0,6.111111111111111,80.0
1546322100.0,6.111111111111111,80.0
1546320900.0,10.0,80.0
1546322100.0,10.0,80.0
1546319700.0,11.11111111111111,80.0
1546320900.0,12.222222222222221,80.0
1546322100.0,12.222222222222221,80.0
1546319700.0,12.222222222222221,80.0
1546322100.0,12.777777777777779,75.0
1546319700.0,12.777777777777779,75.0
1546320900.0,12.777777777777779,75.0
1546321560.0,12.777777777777779,75.0
1546321500.0,12.777777777777779,75.0
1546321500.0,13.88888888888889,61.0
1546321500.0,13.88888888888889,57.0
1546322100.0,13.88888888888889,50.0
1546321500.0,12.777777777777779,44.0
1546321500.0,12.777777777777779,40.0
1546368300.0,11.11111111111111,43.0
1546371900.0,8.88888888888889,49.0
1546375500.0,8.88888888888889,46.0
1546379100.0,7.777777777777778,49.0
1546382700.0,7.222222222222222,52.0
1546386300.0,7.222222222222222,48.0
1546390500.0,6.111111111111111,52.0
1546393800.0,6.111111111111111,48.0
1546397100.0,6.111111111111111,45.0
1546400100.0,5.0,45.0
1546401300.0,5.0,45.0
1546402500.0,5.0,45.0
1546403700.0,3.888888888888889,48.0
1546404900.0,3.888888888888889,48.0
1548998100.0,-13.88888888888889,52.0
1548999300.0,-13.88888888888889,52.0
1549000500.0,-13.88888888888889,52.0
1548998100.0,-15.0,62.0
1548999300.0,-15.0,62.0
1549000500.0,-15.0,62.0
1548998100.0,-15.0,57.0
1548999300.0,-12.777777777777779,44.0
1549000500.0,-12.777777777777779,40.0
1548999300.0,-12.777777777777779,40.0
1549000500.0,-12.777777777777779,40.0
1548998100.0,-12.777777777777779,40.0
1548999300.0,-13.88888888888889,44.0
1549000500.0,-15.0,57.0
1548998100.0,-13.88888888888889,48.0
1548999300.0,-15.0,52.0
1549000500.0,-15.0,57.0
1548998100.0,-16.11111111111111,62.0
1548999300.0,-16.11111111111111,62.0
1548999900.0,-15.0,57.0
1549000200.0,-13.88888888888889,57.0
1548999900.0,-12.222222222222221,37.0
1549000200.0,-11.11111111111111,38.0
1548999900.0,-10.0,35.0
1549000200.0,-8.88888888888889,32.0
1549000200.0,-7.777777777777778,30.0
1549047000.0,-7.777777777777778,30.0
1549050300.0,-7.222222222222222,33.0
1549054200.0,-7.222222222222222,36.0
1549057800.0,-7.222222222222222,36.0
1549061400.0,-7.222222222222222,39.0
1549065000.0,-7.777777777777778,42.0
1549068960.0,-8.88888888888889,49.0
1549071900.0,-10.0,53.0
1549075560.0,-11.11111111111111,58.0
1549077300.0,-12.222222222222221,63.0
1549078500.0,-12.222222222222221,63.0
1549079700.0,-12.777777777777779,68.0
1549080900.0,-12.777777777777779,68.0
1549082100.0,-12.777777777777779,68.0
1549083300.0,-12.777777777777779,68.0
1551418500.0,-2.2222222222222223,34.0
1551419700.0,-2.2222222222222223,34.0
1551417300.0,-2.2222222222222223,34.0
1551419700.0,-2.2222222222222223,34.0
1551417300.0,-2.2222222222222223,37.0
1551418500.0,-2.2222222222222223,37.0
1551419700.0,-2.2222222222222223,37.0
1551417300.0,-2.2222222222222223,37.0
1551418500.0,-2.2222222222222223,37.0
1551419700.0,-2.7777777777777777,51.0
1551417300.0,-3.888888888888889,64.0
1551418500.0,-5.0,80.0
1551419700.0,-5.0,80.0
1551417300.0,-5.0,80.0
1551418500.0,-3.888888888888889,74.0
1551419700.0,-3.888888888888889,74.0
1551417300.0,-3.888888888888889,74.0
1551418500.0,-3.888888888888889,74.0
1551419160.0,-5.0,80.0
1551417300.0,-3.888888888888889,74.0
1551419400.0,-3.888888888888889,74.0
1551417600.0,-3.888888888888889,74.0
1551419940.0,-2.7777777777777777,68.0
1551419100.0,-2.2222222222222223,68.0
1551417300.0,-2.2222222222222223,68.0
1551419160.0,-1.1111111111111112,68.0
1551419100.0,-1.1111111111111112,68.0
1551419100.0,0.0,64.0
1551465900.0,1.1111111111111112,60.0
1551469800.0,1.1111111111111112,64.0
1551473100.0,1.1111111111111112,64.0
1551476700.0,1.1111111111111112,64.0
1551480300.0,1.1111111111111112,64.0
1551483900.0,1.1111111111111112,64.0
1551487500.0,1.1111111111111112,64.0
1551491100.0,0.0,69.0
1551494700.0,0.0,69.0
1551496500.0,0.0,69.0
1551498900.0,0.0,69.0
1551500100.0,0.0,69.0
1551502500.0,0.0,69.0
1554092100.0,2.7777777777777777,41.0
1554094500.0,2.7777777777777777,38.0
1554092100.0,2.2222222222222223,41.0
1554093300.0,2.2222222222222223,38.0
1554094500.0,1.1111111111111112,40.0
1554092100.0,1.1111111111111112,40.0
1554094500.0,0.0,44.0
1554092100.0,0.0,44.0
1554094500.0,0.0,44.0
1554092100.0,0.0,44.0
1554094500.0,0.0,44.0
1554092100.0,0.0,44.0
1554094500.0,0.0,44.0
1554093300.0,-1.1111111111111112,44.0
1554093900.0,-1.1111111111111112,47.0
1554093900.0,0.0,48.0
1554094500.0,1.1111111111111112,40.0
1554093900.0,2.2222222222222223,38.0
1554093900.0,2.7777777777777777,36.0
1554094200.0,3.888888888888889,33.0
1554093900.0,6.111111111111111,28.0
1554140700.0,6.111111111111111,28.0
